Index,Prob,Author,Chunk_no,First,Last,Size
1,0.005681818,Aeschylus,1,urn:cts:greekLit:tlg0085.tlg005:1 Aeschylus Agamemnon: s-1 w-1,urn:cts:greekLit:tlg0085.tlg005:381 Aeschylus Agamemnon: s-148 w-3,2000
2,0.005681818,Aeschylus,2,urn:cts:greekLit:tlg0085.tlg005:381 Aeschylus Agamemnon: s-148 w-4,urn:cts:greekLit:tlg0085.tlg005:740 Aeschylus Agamemnon: s-303 w-14,2000
3,0.005681818,Aeschylus,3,urn:cts:greekLit:tlg0085.tlg005:740 Aeschylus Agamemnon: s-303 w-15,urn:cts:greekLit:tlg0085.tlg005:1098 Aeschylus Agamemnon: s-470 w-2,2000
4,0.005681818,Aeschylus,4,urn:cts:greekLit:tlg0085.tlg005:1098 Aeschylus Agamemnon: s-470 w-3,urn:cts:greekLit:tlg0085.tlg005:1409 Aeschylus Agamemnon: s-682 w-11,2000
7,0.005681818,Aeschylus,7,urn:cts:greekLit:tlg0085.tlg006:332 Aeschylus Ch: s-176 w-1,urn:cts:greekLit:tlg0085.tlg006:701 Aeschylus Ch: s-350 w-7,2000
9,0.005681818,Aeschylus,9, Aeschylus Eumenides: s-1 w-1, Aeschylus Eumenides: s-176 w-12,2000
10,0.005681818,Aeschylus,10, Aeschylus Eumenides: s-176 w-13, Aeschylus Eumenides: s-349 w-9,2000
11,0.005681818,Aeschylus,11, Aeschylus Eumenides: s-349 w-10, Aeschylus Eumenides: s-516 w-1,2000
13,0.005681818,Aeschylus,13,urn:cts:greekLit:tlg0085.tlg002:1 Aeschylus Persians: s-1 w-1,urn:cts:greekLit:tlg0085.tlg002:353 Aeschylus Persians: s-144 w-7,2000
14,0.005681818,Aeschylus,14,urn:cts:greekLit:tlg0085.tlg002:353 Aeschylus Persians: s-144 w-8,urn:cts:greekLit:tlg0085.tlg002:711 Aeschylus Persians: s-282 w-17,2000
17,0.005681818,Aeschylus,17,urn:cts:greekLit:tlg0085.tlg003:324 Aeschylus Prometheus: s-177 w-1,urn:cts:greekLit:tlg0085.tlg003:659 Aeschylus Prometheus: s-342 w-10,2000
18,0.005681818,Aeschylus,18,urn:cts:greekLit:tlg0085.tlg003:659 Aeschylus Prometheus: s-342 w-12,urn:cts:greekLit:tlg0085.tlg003:960 Aeschylus Prometheus: s-513 w-9,2000
20,0.005681818,Aeschylus,20,urn:cts:greekLit:tlg0085.tlg004:1 Aeschylus Seven: s-1 w-1,urn:cts:greekLit:tlg0085.tlg004:377 Aeschylus Seven: s-173 w-5,2000
21,0.005681818,Aeschylus,21,urn:cts:greekLit:tlg0085.tlg004:377 Aeschylus Seven: s-173 w-6,urn:cts:greekLit:tlg0085.tlg004:693 Aeschylus Seven: s-314 w-9,2000
23,0.005681818,Aeschylus,23,urn:cts:greekLit:tlg0085.tlg001:1 Aeschylus Suppliants: s-1 w-1,urn:cts:greekLit:tlg0085.tlg001:376 Aeschylus Suppliants: s-183 w-3,2000
24,0.005681818,Aeschylus,24,urn:cts:greekLit:tlg0085.tlg001:376 Aeschylus Suppliants: s-183 w-4,urn:cts:greekLit:tlg0085.tlg001:749 Aeschylus Suppliants: s-358 w-1,2000
26,0.004329004,Athenaeus,26, Athenaeus Book 12: s-1 w-1, Athenaeus Book 12: s-119 w-12,2000
27,0.004329004,Athenaeus,27, Athenaeus Book 12: s-119 w-13, Athenaeus Book 12: s-236 w-9,2000
28,0.004329004,Athenaeus,28, Athenaeus Book 12: s-236 w-10, Athenaeus Book 12: s-336 w-39,2000
29,0.004329004,Athenaeus,29, Athenaeus Book 12: s-336 w-40, Athenaeus Book 12: s-441 w-32,2000
30,0.004329004,Athenaeus,30, Athenaeus Book 12: s-441 w-33, Athenaeus Book 12: s-545 w-27,2000
31,0.004329004,Athenaeus,31, Athenaeus Book 12: s-545 w-28, Athenaeus Book 12: s-639 w-15,2000
32,0.004329004,Athenaeus,32, Athenaeus Book 12: s-639 w-16, Athenaeus Book 12: s-738 w-29,2000
33,0.004329004,Athenaeus,33, Athenaeus Book 12: s-739 w-1, Athenaeus Book 12: s-854 w-3,2000
34,0.004329004,Athenaeus,34, Athenaeus Book 12: s-854 w-4, Athenaeus Book 12: s-954 w-21,2000
35,0.004329004,Athenaeus,35, Athenaeus Book 12: s-954 w-22, Athenaeus Book 13: s-32 w-20,2000
36,0.004329004,Athenaeus,36, Athenaeus Book 13: s-32 w-21, Athenaeus Book 13: s-181 w-32,2000
37,0.004329004,Athenaeus,37, Athenaeus Book 13: s-181 w-33, Athenaeus Book 13: s-304 w-7,2000
38,0.004329004,Athenaeus,38, Athenaeus Book 13: s-304 w-8, Athenaeus Book 13: s-445 w-9,2000
39,0.004329004,Athenaeus,39, Athenaeus Book 13: s-445 w-10, Athenaeus Book 13: s-561 w-2,2000
40,0.004329004,Athenaeus,40, Athenaeus Book 13: s-561 w-3, Athenaeus Book 13: s-667 w-26,2000
41,0.004329004,Athenaeus,41, Athenaeus Book 13: s-667 w-27, Athenaeus Book 13: s-811 w-14,2000
42,0.004329004,Athenaeus,42, Athenaeus Book 13: s-811 w-15, Athenaeus Book 13: s-938 w-15,2000
43,0.004329004,Athenaeus,43, Athenaeus Book 13: s-938 w-16, Athenaeus Book 13: s-1052 w-15,2000
44,0.004329004,Athenaeus,44, Athenaeus Book 13: s-1052 w-16, Athenaeus Book 13: s-1175 w-3,2000
45,0.004329004,Athenaeus,45, Athenaeus Book 13: s-1175 w-4, Athenaeus Book 13: s-1291 w-5,2000
